iter	Logloss
0	0.5963640106
1	0.5249576467
2	0.4670010911
3	0.4214611816
4	0.3711863382
5	0.341159906
6	0.3168383639
7	0.2931165839
8	0.2725364451
9	0.2573291568
10	0.2440865695
11	0.2325341397
12	0.2212322575
13	0.2102694503
14	0.199854402
15	0.1939853519
16	0.1856065672
17	0.1768318233
18	0.1661175667
19	0.1607811964
20	0.1538725541
21	0.1496888015
22	0.1448438161
23	0.1396980971
24	0.1330044389
25	0.1273270511
26	0.1205672942
27	0.1161698391
28	0.109655371
29	0.1074356715
30	0.1039181447
31	0.09986898792
32	0.09662684442
33	0.09342665523
34	0.0891981764
35	0.08717036874
36	0.08359685532
37	0.08140074737
38	0.07816710498
39	0.07634022404
40	0.07571759003
41	0.07456840877
42	0.07279049906
43	0.07056466799
44	0.06844525671
45	0.06661201149
46	0.0651746871
47	0.06427575617
48	0.06327908033
49	0.06190680878
50	0.06024266876
51	0.05831283558
52	0.05696096223
53	0.05579472271
54	0.05491699694
55	0.0540021575
56	0.05334993359
57	0.05192460092
58	0.0511987158
59	0.04989613096
60	0.04845332273
61	0.04760896586
62	0.04663724488
63	0.04524886004
64	0.04350977499
65	0.04263770829
66	0.04172367931
67	0.04064364143
68	0.04042175783
69	0.03932289497
70	0.0384378417
71	0.03811395337
72	0.03704176884
73	0.03660764467
74	0.03548285339
75	0.03461662978
76	0.03369580892
77	0.03278120563
78	0.03224088833
79	0.03149631307
80	0.03093960136
81	0.03037606416
82	0.02994509858
83	0.0293665331
84	0.02846945435
85	0.02797361085
86	0.02739711721
87	0.02686355645
88	0.02648570331
89	0.02612351612
90	0.02561443669
91	0.02512389742
92	0.02456980947
93	0.02430461315
94	0.02406805912
95	0.02374727433
96	0.02345877223
97	0.02295662011
98	0.02258050589
99	0.02222496062
100	0.02192541192
101	0.02168776922
102	0.02136144223
103	0.0209430752
104	0.02075323793
105	0.02033057679
106	0.02010316982
107	0.01985259277
108	0.01961651538
109	0.01935006264
110	0.01897400464
111	0.01864286383
112	0.01835620799
113	0.01814770249
114	0.01792955463
115	0.01760239904
116	0.01744656754
117	0.01719421788
118	0.01698293032
119	0.01670708747
120	0.01653960576
121	0.01633733268
122	0.01611051399
123	0.01585728095
124	0.01564414095
125	0.01546538184
126	0.01524397196
127	0.01492887948
128	0.0147686876
129	0.01456194373
130	0.01442031759
131	0.01430848763
132	0.01420780124
133	0.01406380602
134	0.01389264543
135	0.01366602532
136	0.01348187676
137	0.01330274319
138	0.01316871239
139	0.01305798279
140	0.01287097619
141	0.01276523733
142	0.0126319623
143	0.01242963896
144	0.0123297581
145	0.01221879606
146	0.01205870575
147	0.01190449358
148	0.01178750451
149	0.01163317294
150	0.01153134857
151	0.01137042476
152	0.01125202947
153	0.01116420825
154	0.01102090034
155	0.01094473592
156	0.01087343101
157	0.01066278023
