iter	Passed	Remaining
0	149	74774
1	151	37716
2	152	25328
3	154	19128
4	155	15416
5	157	12950
6	158	11176
7	160	9844
8	161	8809
9	162	7981
10	164	7301
11	165	6735
12	167	6258
13	168	5848
14	169	5493
15	171	5183
16	172	4907
17	174	4661
18	175	4442
19	176	4246
20	178	4067
21	179	3906
22	181	3762
23	182	3628
24	184	3501
25	185	3386
26	187	3278
27	188	3177
28	189	3084
29	191	2997
30	192	2915
31	194	2838
32	195	2765
33	196	2697
34	198	2632
35	199	2571
36	200	2514
37	202	2465
38	204	2415
39	205	2368
40	207	2321
41	208	2277
42	210	2236
43	211	2196
44	213	2157
45	214	2119
46	216	2084
47	217	2050
48	219	2016
49	220	1983
50	221	1952
51	223	1922
52	224	1893
53	225	1865
54	227	1839
55	228	1813
56	230	1787
57	231	1765
58	233	1746
59	235	1728
60	237	1711
61	239	1694
62	241	1678
63	244	1662
64	245	1645
65	247	1628
66	249	1612
67	251	1596
68	253	1581
69	254	1566
70	256	1550
71	258	1536
72	260	1522
73	262	1508
74	263	1495
75	265	1481
76	267	1469
77	269	1455
78	270	1443
79	272	1432
80	290	1503
81	292	1493
82	295	1482
83	297	1471
84	298	1459
85	300	1446
86	302	1436
87	305	1428
88	307	1418
89	309	1410
90	312	1402
91	314	1393
92	316	1383
93	318	1375
94	320	1367
95	322	1358
96	324	1348
97	326	1338
98	328	1330
99	330	1322
100	332	1313
101	334	1305
102	336	1296
103	338	1288
104	340	1279
105	342	1271
106	344	1263
107	345	1255
108	347	1247
109	350	1243
110	352	1236
111	354	1228
112	356	1220
113	358	1213
114	360	1205
115	362	1199
116	364	1193
117	367	1188
118	368	1181
119	370	1174
120	372	1167
121	374	1160
122	376	1155
123	379	1149
124	381	1144
125	383	1137
126	385	1131
127	387	1126
128	389	1121
129	407	1160
130	409	1153
131	411	1146
132	412	1139
133	414	1133
134	416	1126
135	418	1120
136	420	1113
137	422	1107
138	423	1100
139	425	1093
140	427	1087
141	428	1081
142	430	1074
143	432	1068
144	433	1062
145	435	1055
146	437	1049
147	438	1043
148	440	1037
149	442	1031
150	443	1025
151	445	1019
152	447	1014
153	448	1008
154	450	1002
155	452	997
156	454	992
157	455	986
158	457	980
159	458	975
160	460	969
161	461	963
162	463	957
163	464	952
164	466	946
165	467	941
166	469	935
167	470	930
168	472	925
169	473	919
170	475	914
171	476	908
172	478	903
173	479	898
174	480	893
175	482	888
176	483	882
177	485	877
178	486	872
179	487	867
180	489	862
181	490	857
182	492	852
183	493	847
184	494	842
185	496	837
186	497	833
187	499	828
188	500	823
189	501	818
190	503	814
191	504	809
192	505	804
193	507	800
194	508	795
195	510	791
196	511	787
197	513	782
198	514	778
199	515	773
200	517	769
201	518	765
202	520	761
203	522	757
204	523	753
205	525	749
206	526	745
207	528	741
208	529	737
209	531	733
210	532	729
211	534	726
212	536	722
213	537	718
214	539	715
215	541	711
216	542	708
217	544	704
218	546	700
219	547	697
220	549	693
221	550	689
222	552	686
223	554	683
224	556	679
225	557	676
226	559	672
227	560	669
228	562	665
229	563	662
230	565	658
231	567	655
232	568	651
233	570	648
234	572	645
235	574	642
236	575	639
237	577	635
238	578	632
239	580	628
240	581	625
241	583	622
242	585	618
243	586	615
244	588	612
245	589	608
246	591	606
247	593	603
248	595	600
249	597	597
250	598	593
251	601	591
252	603	588
253	604	585
254	606	582
255	608	579
256	610	576
257	611	574
258	614	571
259	616	568
260	617	565
261	619	562
262	621	560
263	623	556
264	624	553
265	626	551
266	628	548
267	630	545
268	632	543
269	634	540
270	635	537
271	637	534
272	639	531
273	641	529
274	642	526
275	644	523
276	646	520
277	648	517
278	650	515
279	651	512
280	653	509
281	655	506
282	657	503
283	659	501
284	677	510
285	678	507
286	680	505
287	682	502
288	684	499
289	686	496
290	688	494
291	689	491
292	691	488
293	693	485
294	695	483
295	696	480
296	698	477
297	700	474
298	701	471
299	703	469
300	705	466
301	707	463
302	709	461
303	710	458
304	712	455
305	714	452
306	715	449
307	716	446
308	718	444
309	721	442
310	722	439
311	724	436
312	726	433
313	727	430
314	728	428
315	730	425
316	732	422
317	733	419
318	735	417
319	736	414
320	738	411
321	739	408
322	741	406
323	742	403
324	743	400
325	745	398
326	747	395
327	748	392
328	750	390
329	752	387
330	753	384
331	754	382
332	756	379
333	758	376
334	759	374
335	761	371
336	762	368
337	764	366
338	766	363
339	767	361
340	768	358
341	770	356
342	772	353
343	773	350
344	775	348
345	776	345
346	778	343
347	780	340
348	782	338
349	784	336
350	785	333
351	787	330
352	788	328
353	790	325
354	791	323
355	792	320
356	794	318
357	795	315
358	797	313
359	799	310
360	800	308
361	802	305
362	803	303
363	805	300
364	807	298
365	808	296
366	810	293
367	812	291
368	813	288
369	815	286
370	816	283
371	818	281
372	819	279
373	820	276
374	822	274
375	824	271
376	825	269
377	826	266
378	828	264
379	829	262
380	831	259
381	832	257
382	834	254
383	835	252
384	837	250
385	839	247
386	840	245
387	842	243
388	844	240
389	845	238
390	847	236
391	849	233
392	851	231
393	852	229
394	854	227
395	856	224
396	858	222
397	859	220
398	861	217
399	862	215
400	864	213
401	866	211
402	868	208
403	869	206
404	871	204
405	872	202
406	873	199
407	875	197
408	876	195
409	878	192
410	879	190
411	881	188
412	882	185
413	884	183
414	885	181
415	887	179
416	888	176
417	890	174
418	892	172
419	893	170
420	895	168
421	897	165
422	899	163
423	900	161
424	902	159
425	904	157
426	905	154
427	907	152
428	908	150
429	910	148
430	911	145
431	913	143
432	914	141
433	916	139
434	917	137
435	919	134
436	920	132
437	922	130
438	923	128
439	925	126
440	926	124
441	928	121
442	930	119
443	931	117
444	933	115
445	934	113
446	936	110
447	937	108
448	939	106
449	940	104
450	942	102
451	943	100
452	945	98
453	946	95
454	948	93
455	949	91
456	951	89
457	953	87
458	954	85
459	956	83
460	958	81
461	960	78
462	961	76
463	963	74
464	964	72
465	966	70
466	967	68
467	969	66
468	971	64
469	972	62
470	974	59
471	975	57
472	977	55
473	979	53
474	980	51
475	982	49
476	984	47
477	985	45
478	987	43
479	989	41
480	990	39
481	992	37
482	993	34
483	995	32
484	997	30
485	998	28
486	1000	26
487	1002	24
488	1003	22
489	1005	20
490	1006	18
491	1008	16
492	1010	14
493	1011	12
494	1013	10
495	1015	8
496	1017	6
497	1019	4
498	1020	2
499	1022	0
