iter	Logloss
0	0.6533961517
1	0.6210574404
2	0.5972079048
3	0.5758676472
4	0.5558765294
5	0.5423633447
6	0.5283822487
7	0.5171661385
8	0.5041216065
9	0.4930634541
10	0.4815637474
11	0.4727705872
12	0.4648052386
13	0.4584699401
14	0.451545953
15	0.4453645973
16	0.439358604
17	0.431505527
18	0.425245141
19	0.4194667837
20	0.413469305
21	0.4073590411
22	0.4007362694
23	0.3940980517
24	0.3885802458
25	0.3839149335
26	0.3783154735
27	0.3718550454
28	0.3660415598
29	0.362291959
30	0.3567915219
31	0.3511485998
32	0.348194985
33	0.3428560184
34	0.3394701052
35	0.3343724431
36	0.3308842826
37	0.3279102822
38	0.3247283436
39	0.3212687595
40	0.3187250366
41	0.3151505012
42	0.3115241655
43	0.3078458932
44	0.3042582229
45	0.3010486122
46	0.2961003353
47	0.2928156647
48	0.2898471711
49	0.2860256188
50	0.2826259701
51	0.2796538835
52	0.2760162931
53	0.2735555932
54	0.2706756963
55	0.2678598302
56	0.2652411389
57	0.2633026316
58	0.258820993
59	0.2557861864
60	0.2527571969
61	0.2493113528
62	0.2459306081
63	0.2436693988
64	0.2411110013
65	0.2396247782
66	0.2378646545
67	0.2352530744
68	0.2329703797
69	0.2304181231
70	0.2275784749
71	0.2257975871
72	0.2230305413
73	0.2208229366
74	0.2180598768
75	0.2155119546
76	0.2130518565
77	0.2109193687
78	0.2088076728
79	0.206995904
80	0.2051474504
81	0.2034994521
82	0.2011029549
83	0.1995677128
84	0.1974838576
85	0.1961197585
86	0.1939009338
87	0.1920241638
88	0.190347005
89	0.188994443
90	0.1867007203
91	0.18552204
92	0.1835094944
93	0.1820161311
94	0.1802952713
95	0.1781558196
96	0.1771851602
97	0.1751898102
98	0.1731263173
99	0.1717269815
100	0.1702206028
101	0.1683714179
102	0.1668223632
103	0.1651156186
104	0.1641027777
105	0.1621724389
106	0.1608093457
107	0.1592979203
108	0.1581133191
109	0.1571921454
110	0.155794288
111	0.1543519881
112	0.1526226739
113	0.1515273706
114	0.1503961172
115	0.1496479366
116	0.1475963001
117	0.1461883257
118	0.1443114352
119	0.1430231987
120	0.1415344523
121	0.140417677
122	0.1392024694
123	0.1376525427
124	0.1365120388
125	0.1359494781
126	0.1345786519
127	0.1332779795
128	0.1316753123
129	0.1305743258
130	0.1288823183
131	0.1269291609
132	0.1260476168
133	0.1247642395
134	0.1239290929
135	0.1227970948
136	0.1218824623
137	0.1204389639
138	0.1193456106
139	0.1181501796
140	0.1171687752
141	0.1160563415
142	0.1152753439
143	0.1144753121
144	0.113916407
145	0.1133698021
146	0.1122833355
147	0.1103758225
148	0.1098801319
149	0.1088527528
150	0.1080391591
151	0.1073890004
152	0.1065264625
153	0.1060278439
154	0.1049868899
155	0.1039164752
156	0.1027953633
157	0.1018820908
158	0.1014136089
159	0.1001095774
160	0.09897584705
161	0.0981835272
162	0.09715713617
163	0.09610346438
164	0.0953230434
165	0.09465672852
166	0.09390344762
167	0.09315219489
168	0.09246466314
169	0.09189440062
170	0.09084538308
171	0.09003332967
172	0.08876077932
173	0.08815687461
174	0.08751151534
175	0.08670247712
176	0.08582498273
177	0.08492850619
178	0.0839884548
179	0.08306920104
180	0.08272893716
181	0.08223867407
182	0.08187425237
183	0.08105509503
184	0.0803652409
185	0.0796985838
186	0.07899578628
187	0.07868235208
188	0.07817724973
189	0.07748563929
190	0.07670455566
191	0.07591940059
192	0.07502246516
193	0.07436251786
194	0.07388168945
195	0.07320104111
196	0.07257163036
197	0.07232735464
198	0.07192507864
199	0.07115416213
200	0.07054314456
201	0.07021089681
202	0.0696834471
203	0.06917423983
204	0.06876069804
205	0.06802469908
206	0.06742902208
207	0.06703969979
208	0.06668416791
209	0.06626768127
210	0.06583913498
211	0.06541429194
212	0.06515934134
213	0.06473365197
214	0.06409706584
215	0.06361975785
216	0.06325361642
217	0.0626684965
218	0.06213063989
219	0.06181846402
220	0.0612463179
221	0.06077267912
222	0.06034715639
223	0.05981308705
224	0.05941388346
225	0.05904499229
226	0.05873907346
227	0.05835809278
228	0.05796721628
229	0.05751183249
230	0.05697039405
231	0.0564997872
232	0.05618458079
233	0.05561828446
234	0.05512593066
235	0.0545659726
236	0.05433167503
237	0.05383784909
238	0.05344627392
239	0.05317741358
240	0.05272745083
241	0.05219487067
242	0.05171001047
243	0.05130495933
244	0.05082467607
245	0.05055769904
246	0.05025907171
247	0.04991599446
248	0.04970583796
249	0.04940703785
250	0.04899704802
251	0.04877241486
252	0.04849161909
253	0.0479984438
254	0.04776841668
255	0.04748846947
256	0.04714869436
257	0.04672246989
258	0.04624977011
259	0.04586177063
260	0.04546291345
261	0.04513119689
262	0.04475647101
263	0.04440900216
264	0.04422125332
265	0.04394452925
266	0.04361446963
267	0.04326809665
268	0.04292245724
269	0.04268390066
270	0.04245032884
