iter	Passed	Remaining
399	16481	4120
400	16514	4077
401	16550	4034
402	16585	3992
403	16622	3949
404	16655	3906
405	16689	3864
406	16726	3822
407	16768	3781
408	16809	3740
409	16846	3697
410	16883	3655
411	16923	3614
412	16959	3572
413	16996	3530
414	17041	3490
415	17077	3448
416	17112	3405
417	17147	3363
418	17179	3321
419	17215	3279
420	17252	3237
421	17293	3196
422	17330	3154
423	17363	3112
424	17398	3070
425	17434	3028
426	17473	2987
427	17506	2945
428	17541	2903
429	17581	2862
430	17619	2820
431	17655	2779
432	17695	2738
433	17730	2696
434	17771	2655
435	17803	2613
436	17839	2571
437	17876	2530
438	17911	2488
439	17945	2447
440	17986	2406
441	18037	2366
442	18074	2325
443	18112	2284
444	18148	2243
445	18184	2201
446	18228	2161
447	18273	2121
448	18312	2080
449	18359	2039
450	18402	1999
451	18444	1958
452	18482	1917
453	18521	1876
454	18564	1836
455	18611	1795
456	18661	1755
457	18725	1717
458	18788	1678
459	18830	1637
460	18871	1596
461	18912	1555
462	18949	1514
463	18986	1473
464	19025	1432
465	19067	1391
466	19104	1350
467	19147	1309
468	19200	1269
469	19256	1229
470	19308	1188
471	19365	1148
472	19425	1108
473	19482	1068
474	19540	1028
475	19589	987
476	19640	947
477	19695	906
478	19749	865
479	19803	825
480	19858	784
481	19924	744
482	19977	703
483	20025	662
484	20073	620
485	20113	579
486	20155	538
487	20197	496
488	20243	455
489	20288	414
490	20337	372
491	20377	331
492	20420	289
493	20461	248
494	20513	207
495	20556	165
496	20594	124
497	20639	82
498	20698	41
499	20753	0
